Probeset	Nod_06dpi_1	Nod_06dpi_2	Nod_06dpi_3
Mtr.10398.1.S1_at	5073.64	4593.9	5110.37
Mtr.10399.1.S1_at	5310.29	5183.69	5411.39
Mtr.104.1.S1_at	9.4116	9.95979	7.44562
Mtr.1040.1.S1_at	490.269	399.445	421.28
Mtr.10400.1.S1_at	4624.56	4573.49	4352.75
Mtr.10402.1.S1_at	24.8279	18.6408	30.7446
Mtr.10403.1.S1_at	13.9406	17.8329	15.8743
Mtr.10404.1.S1_at	248.55	251.033	274.077
Mtr.10405.1.S1_at	446.378	433.582	415.207
Mtr.10406.1.S1_at	13.1376	9.92776	10.9267
Mtr.10407.1.S1_at	701.106	647.888	667.026
Mtr.10407.1.S1_s_at	2152.31	2196.66	2235.4
Mtr.10408.1.S1_at	2375.69	2521.89	2304.44
